年,生产厂家,新编码,新名称,新规格型号,客户名称,销售数量,销售含税总价,采购含税总价,采购含税单价,销售含税单价,返利金额,总毛利,大类,地区,毛利率
2020年,乐普(北京)医疗器械股份有限公司,10344250,钴基合金雷帕霉素洗脱支架系统,LPRPC3524,昆明医科大学第二附属医院,12,102960,33336,2778,8580,,69624,支架,云南,67.62%
2020年,乐普(北京)医疗器械股份有限公司,10344250,钴基合金雷帕霉素洗脱支架系统,LPRPC3524,普洱市人民医院,23,192094,63894,2778,8351.91,,128200,支架,云南,66.74%
2020年,乐普(北京)医疗器械股份有限公司,10344250,钴基合金雷帕霉素洗脱支架系统,LPRPC3524,曲靖市第二人民医院,6,50400,16668,2778,8400,,33732,支架,云南,66.93%
2020年,乐普(北京)医疗器械股份有限公司,10344250,钴基合金雷帕霉素洗脱支架系统,LPRPC3524,曲靖市第一人民医院,72,604800,200016,2778,8400,,404784,支架,云南,66.93%
2020年,乐普(北京)医疗器械股份有限公司,10344250,钴基合金雷帕霉素洗脱支架系统,LPRPC3524,宜良县第一人民医院,11,84307.2,30558,2778,7664.29,,53749.2,支架,云南,63.75%
2020年,乐普(北京)医疗器械股份有限公司,10344250,钴基合金雷帕霉素洗脱支架系统,LPRPC3524,玉溪市第三人民医院,1,8560,2778,2778,8560,,5782,支架,云南,67.55%
2020年,乐普(北京)医疗器械股份有限公司,10344250,钴基合金雷帕霉素洗脱支架系统,LPRPC3524,玉溪市人民医院,45,349200,125010,2778,7760,,224190,支架,云南,64.20%
2020年,乐普(北京)医疗器械股份有限公司,10344250,钴基合金雷帕霉素洗脱支架系统,LPRPC3524,云南城投健康医药有限公司,6,45710.4,16668,2778,7618.4,,29042.4,支架,云南,63.54%
2020年,乐普(北京)医疗器械股份有限公司,10344250,钴基合金雷帕霉素洗脱支架系统,LPRPC3524,云南省第一人民医院,42,360640,116676,2778,8586.67,,243964,支架,云南,67.65%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,大理白族自治州人民医院,39,304161,108342,2778,7799,,195819,支架,云南,64.38%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,大理大学第一附属医院,12,102720,33336,2778,8560,,69384,支架,云南,67.55%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,大理市第一人民医院,7,60480,19446,2778,8640,,41034,支架,云南,67.85%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,德宏州人民医院,8,67840,22224,2778,8480,,45616,支架,云南,67.24%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,凤庆县人民医院,12,103680,33336,2778,8640,,70344,支架,云南,67.85%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,国药集团昆明医疗器械有限公司,18,125820.8,50004,2778,6990.04,,75816.8,支架,云南,60.26%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,国药控股红河有限公司,8,53887.75,22224,2778,6735.97,,31663.75,支架,云南,58.76%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,国药控股曲靖有限公司,4,25739.68,11112,2778,6434.92,,14627.68,支架,云南,56.83%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,会泽县人民医院,4,33868,11112,2778,8467,,22756,支架,云南,67.19%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,昆明市第一人民医院,3,25680,8334,2778,8560,,17346,支架,云南,67.55%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,昆明市延安医院,132,1123840,366696,2778,8513.94,,757144,支架,云南,67.37%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,昆明医科大学第二附属医院,17,145253.4,47226,2778,8544.32,,98027.4,支架,云南,67.49%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,普洱市人民医院,10,80534,27780,2778,8053.4,,52754,支架,云南,65.51%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,曲靖市第二人民医院,9,75600,25002,2778,8400,,50598,支架,云南,66.93%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,曲靖市第一人民医院,65,546000,180570,2778,8400,,365430,支架,云南,66.93%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,宜良县第一人民医院,12,93974.4,33336,2778,7831.2,,60638.4,支架,云南,64.53%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,玉溪市人民医院,16,124160,44448,2778,7760,,79712,支架,云南,64.20%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,云龙县人民医院,1,8640,2778,2778,8640,,5862,支架,云南,67.85%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,云南城投健康医药有限公司,13,99039.2,36114,2778,7618.4,,62925.2,支架,云南,63.54%
2020年,乐普(北京)医疗器械股份有限公司,10344252,钴基合金雷帕霉素洗脱支架系统,LPRPC3536,云南省第一人民医院,88,755380,244464,2778,8583.86,,510916,支架,云南,67.64%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,大理白族自治州人民医院,13,101387,36114,2778,7799,,65273,支架,云南,64.38%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,大理大学第一附属医院,5,42800,13890,2778,8560,,28910,支架,云南,67.55%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,大理市第一人民医院,2,17280,5556,2778,8640,,11724,支架,云南,67.85%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,德宏州人民医院,5,42640,13890,2778,8528,,28750,支架,云南,67.42%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,凤庆县人民医院,6,51840,16668,2778,8640,,35172,支架,云南,67.85%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,国药集团昆明医疗器械有限公司,9,63041.6,25002,2778,7004.62,,38039.6,支架,云南,60.34%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,国药控股红河有限公司,3,20376.5,8334,2778,6792.17,,12042.5,支架,云南,59.10%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,会泽县人民医院,5,45138,13890,2778,9027.6,,31248,支架,云南,69.23%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,昆明市第一人民医院,1,8560,2778,2778,8560,,5782,支架,云南,67.55%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,昆明市延安医院,25,212880,69450,2778,8515.2,,143430,支架,云南,67.38%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,昆明医科大学第二附属医院,6,51200,16668,2778,8533.33,,34532,支架,云南,67.45%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,普洱市人民医院,7,58418,19446,2778,8345.43,,38972,支架,云南,66.71%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,曲靖市第二人民医院,4,33600,11112,2778,8400,,22488,支架,云南,66.93%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,曲靖市第一人民医院,27,226800,75006,2778,8400,,151794,支架,云南,66.93%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,宜良县第一人民医院,6,44046.4,16668,2778,7341.07,,27378.4,支架,云南,62.16%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,玉溪市人民医院,13,100880,36114,2778,7760,,64766,支架,云南,64.20%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,云南城投健康医药有限公司,4,30473.6,11112,2778,7618.4,,19361.6,支架,云南,63.54%
2020年,乐普(北京)医疗器械股份有限公司,10344255,钴基合金雷帕霉素洗脱支架系统,LPRPC4018,云南省第一人民医院,19,162780,52782,2778,8567.37,,109998,支架,云南,67.57%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,大理白族自治州人民医院,19,148181,52782,2778,7799,,95399,支架,云南,64.38%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,大理大学第一附属医院,6,51360,16668,2778,8560,,34692,支架,云南,67.55%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,大理市第一人民医院,3,25920,8334,2778,8640,,17586,支架,云南,67.85%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,德宏州人民医院,10,84800,27780,2778,8480,,57020,支架,云南,67.24%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,凤庆县人民医院,4,34560,11112,2778,8640,,23448,支架,云南,67.85%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,国药集团昆明医疗器械有限公司,4,27945.6,11112,2778,6986.4,,16833.6,支架,云南,60.24%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,国药控股红河有限公司,9,60320.25,25002,2778,6702.25,,35318.25,支架,云南,58.55%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,国药控股曲靖有限公司,1,6434.92,2778,2778,6434.92,,3656.92,支架,云南,56.83%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,昆明市延安医院,31,263920,86118,2778,8513.55,,177802,支架,云南,67.37%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,昆明医科大学第二附属医院,10,85440,27780,2778,8544,,57660,支架,云南,67.49%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,普洱市人民医院,4,32668,11112,2778,8167,,21556,支架,云南,65.99%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,曲靖市第二人民医院,3,25200,8334,2778,8400,,16866,支架,云南,66.93%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,曲靖市第一人民医院,27,226800,75006,2778,8400,,151794,支架,云南,66.93%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,宜良县第一人民医院,7,53928,19446,2778,7704,,34482,支架,云南,63.94%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,玉溪市人民医院,25,194000,69450,2778,7760,,124550,支架,云南,64.20%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,云南城投健康医药有限公司,2,15236.8,5556,2778,7618.4,,9680.8,支架,云南,63.54%
2020年,乐普(北京)医疗器械股份有限公司,10344257,钴基合金雷帕霉素洗脱支架系统,LPRPC4024,云南省第一人民医院,17,146220,47226,2778,8601.18,,98994,支架,云南,67.70%
2020年,乐普(北京)医疗器械股份有限公司,10344261,钴基合金雷帕霉素洗脱支架系统,LPRPC4515,曲靖市第一人民医院,1,8400,2778,2778,8400,,5622,支架,云南,66.93%
2020年,乐普(北京)医疗器械股份有限公司,10344264,钴基合金雷帕霉素洗脱支架系统,LPRPC4524,曲靖市第一人民医院,4,33600,11112,2778,8400,,22488,支架,云南,66.93%
2020年,乐普(北京)医疗器械股份有限公司,10344265,钴基合金雷帕霉素洗脱支架系统,LPRPC4529,曲靖市第一人民医院,2,16800,5556,2778,8400,,11244,支架,云南,66.93%
2020年,雅培心血管Abbott Vascular,10351087,药物洗脱冠脉支架系统,1011711-23,云南省第一人民医院,1,13800,10835.76,10835.76,13800,1007.26,3971.5,支架,云南,28.78%
2020年,雅培心血管Abbott Vascular,10351093,药物洗脱冠脉支架系统,1011706-18,云南省第一人民医院,3,40880.01,32507.28,10835.76,13626.67,2983.82,11356.55,支架,云南,27.78%
2020年,雅培心血管Abbott Vascular,10351094,药物洗脱冠脉支架系统,1011706-23,云南省第一人民医院,3,41053.34,32507.28,10835.76,13684.45,2996.47,11542.53,支架,云南,28.12%
2020年,雅培心血管Abbott Vascular,10351095,药物洗脱冠脉支架系统,1011706-28,云南省第一人民医院,4,54853.34,43343.04,10835.76,13713.34,4003.73,15514.03,支架,云南,28.28%
2020年,雅培心血管Abbott Vascular,10351096,药物洗脱冠脉支架系统,1011707-38,云南省第一人民医院,3,41226.67,32507.28,10835.76,13742.22,3009.12,11728.51,支架,云南,28.45%
2020年,雅培心血管Abbott Vascular,10351097,药物洗脱冠脉支架系统,1011709-33,云南省第一人民医院,1,13800,10835.76,10835.76,13800,1007.26,3971.5,支架,云南,28.78%
2020年,雅培心血管Abbott Vascular,10351098,药物洗脱冠脉支架系统,1011709-38,云南省第一人民医院,3,41053.34,32507.28,10835.76,13684.45,2996.47,11542.53,支架,云南,28.12%
2020年,雅培心血管Abbott Vascular,10351099,药物洗脱冠脉支架系统,1011710-33,云南省第一人民医院,1,13800,10835.76,10835.76,13800,1007.26,3971.5,支架,云南,28.78%
2020年,雅培心血管Abbott Vascular,10351100,药物洗脱冠脉支架系统,1011710-38,云南省第一人民医院,6,82453.34,65014.56,10835.76,13742.22,6018.24,23457.02,支架,云南,28.45%
2020年,雅培心血管Abbott Vascular,10351104,药物洗脱冠脉支架系统,1011707-12,云南省第一人民医院,3,41226.67,32507.28,10835.76,13742.22,3009.12,11728.51,支架,云南,28.45%
2020年,雅培心血管Abbott Vascular,10351106,药物洗脱冠脉支架系统,1011707-18,云南省第一人民医院,1,13626.67,10835.76,10835.76,13626.67,994.61,3785.52,支架,云南,27.78%
2020年,雅培心血管Abbott Vascular,10351112,药物洗脱冠脉支架系统,1011708-18,云南省第一人民医院,2,27253.34,21671.52,10835.76,13626.67,1989.21,7571.03,支架,云南,27.78%
2020年,雅培心血管Abbott Vascular,10351114,药物洗脱冠脉支架系统,1011708-28,云南省第一人民医院,2,27253.34,21671.52,10835.76,13626.67,1989.21,7571.03,支架,云南,27.78%
2020年,雅培心血管Abbott Vascular,10351118,药物洗脱冠脉支架系统,1011709-23,云南省第一人民医院,1,13626.67,10835.76,10835.76,13626.67,994.61,3785.52,支架,云南,27.78%
2020年,雅培心血管Abbott Vascular,10351121,药物洗脱冠脉支架系统,1011710-12,云南省第一人民医院,3,41053.34,32507.28,10835.76,13684.45,2996.47,11542.53,支架,云南,28.12%
2020年,雅培心血管Abbott Vascular,10351123,药物洗脱冠脉支架系统,1011710-18,云南省第一人民医院,4,54853.34,43343.04,10835.76,13713.34,4003.73,15514.03,支架,云南,28.28%
2020年,雅培心血管Abbott Vascular,10351124,药物洗脱冠脉支架系统,1011710-23,云南省第一人民医院,1,13800,10835.76,10835.76,13800,1007.26,3971.5,支架,云南,28.78%
2020年,乐普(北京)医疗器械股份有限公司,10667768,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×24mm,德宏州人民医院,5,54900,22310,4462,10980,,32590,支架,云南,59.36%
2020年,乐普(北京)医疗器械股份有限公司,10667768,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×24mm,会泽县人民医院,1,11270,4462,4462,11270,,6808,支架,云南,60.41%
2020年,乐普(北京)医疗器械股份有限公司,10667768,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×24mm,昆明市延安医院,9,99700,40158,4462,11077.78,,59542,支架,云南,59.72%
2020年,乐普(北京)医疗器械股份有限公司,10667768,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×24mm,昆明医科大学第二附属医院,6,66800,26772,4462,11133.33,,40028,支架,云南,59.92%
2020年,乐普(北京)医疗器械股份有限公司,10667768,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×24mm,昆明医科大学第一附属医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2020年,乐普(北京)医疗器械股份有限公司,10667768,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×24mm,普洱市人民医院,1,11100,4462,4462,11100,,6638,支架,云南,59.80%
2020年,乐普(北京)医疗器械股份有限公司,10667768,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×24mm,曲靖市第二人民医院,23,255300,102626,4462,11100,,152674,支架,云南,59.80%
2020年,乐普(北京)医疗器械股份有限公司,10667770,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×36mm,德宏州人民医院,2,22000,8924,4462,11000,,13076,支架,云南,59.44%
2020年,乐普(北京)医疗器械股份有限公司,10667770,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×36mm,会泽县人民医院,1,11270,4462,4462,11270,,6808,支架,云南,60.41%
2020年,乐普(北京)医疗器械股份有限公司,10667770,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×36mm,昆明市延安医院,20,221800,89240,4462,11090,,132560,支架,云南,59.77%
2020年,乐普(北京)医疗器械股份有限公司,10667770,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×36mm,昆明医科大学第二附属医院,4,44400,17848,4462,11100,,26552,支架,云南,59.80%
2020年,乐普(北京)医疗器械股份有限公司,10667770,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×36mm,昆明医科大学第一附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2020年,乐普(北京)医疗器械股份有限公司,10667770,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×36mm,普洱市人民医院,2,22600,8924,4462,11300,,13676,支架,云南,60.51%
2020年,乐普(北京)医疗器械股份有限公司,10667770,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×36mm,曲靖市第二人民医院,23,255300,102626,4462,11100,,152674,支架,云南,59.80%
2020年,乐普(北京)医疗器械股份有限公司,10667770,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×36mm,曲靖市第一人民医院,0,0,0,4462,#DIV/0!,,0,支架,云南,#DIV/0!
2020年,乐普(北京)医疗器械股份有限公司,10667770,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×36mm,宜良县第一人民医院,1,9990,4462,4462,9990,,5528,支架,云南,55.34%
2020年,乐普(北京)医疗器械股份有限公司,10667771,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×24mm,德宏州人民医院,3,33000,13386,4462,11000,,19614,支架,云南,59.44%
2020年,乐普(北京)医疗器械股份有限公司,10667771,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×24mm,会泽县人民医院,1,11270,4462,4462,11270,,6808,支架,云南,60.41%
2020年,乐普(北京)医疗器械股份有限公司,10667771,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×24mm,昆明市延安医院,6,66400,26772,4462,11066.67,,39628,支架,云南,59.68%
2020年,乐普(北京)医疗器械股份有限公司,10667771,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×24mm,昆明医科大学第二附属医院,7,77100,31234,4462,11014.29,,45866,支架,云南,59.49%
2020年,乐普(北京)医疗器械股份有限公司,10667771,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×24mm,昆明医科大学第一附属医院,2,23000,8924,4462,11500,,14076,支架,云南,61.20%
2020年,乐普(北京)医疗器械股份有限公司,10667771,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×24mm,普洱市人民医院,3,34100,13386,4462,11366.67,,20714,支架,云南,60.74%
2020年,乐普(北京)医疗器械股份有限公司,10667771,血管内无载体含药(雷帕霉素)洗脱支架系统,2.75mm×24mm,曲靖市第二人民医院,11,122100,49082,4462,11100,,73018,支架,云南,59.80%
2020年,乐普(北京)医疗器械股份有限公司,10667772,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×18mm,德宏州人民医院,1,11000,4462,4462,11000,,6538,支架,云南,59.44%
2020年,乐普(北京)医疗器械股份有限公司,10667772,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×18mm,会泽县人民医院,1,11270,4462,4462,11270,,6808,支架,云南,60.41%
2020年,乐普(北京)医疗器械股份有限公司,10667772,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×18mm,昆明市延安医院,7,77500,31234,4462,11071.43,,46266,支架,云南,59.70%
2020年,乐普(北京)医疗器械股份有限公司,10667772,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×18mm,昆明医科大学第二附属医院,4,45600,17848,4462,11400,,27752,支架,云南,60.86%
2020年,乐普(北京)医疗器械股份有限公司,10667772,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×18mm,昆明医科大学第一附属医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2020年,乐普(北京)医疗器械股份有限公司,10667772,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×18mm,普洱市人民医院,1,11100,4462,4462,11100,,6638,支架,云南,59.80%
2020年,乐普(北京)医疗器械股份有限公司,10667772,血管内无载体含药(雷帕霉素)洗脱支架系统,3.0mm×18mm,曲靖市第二人民医院,21,233100,93702,4462,11100,,139398,支架,云南,59.80%
2020年,乐普(北京)医疗器械股份有限公司,10667773,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×15mm,会泽县人民医院,1,11270,4462,4462,11270,,6808,支架,云南,60.41%
2020年,乐普(北京)医疗器械股份有限公司,10667773,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×15mm,昆明市延安医院,3,33100,13386,4462,11033.33,,19714,支架,云南,59.56%
2020年,乐普(北京)医疗器械股份有限公司,10667773,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×15mm,昆明医科大学第二附属医院,2,22000,8924,4462,11000,,13076,支架,云南,59.44%
2020年,乐普(北京)医疗器械股份有限公司,10667773,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×15mm,曲靖市第二人民医院,10,111000,44620,4462,11100,,66380,支架,云南,59.80%
2020年,乐普(北京)医疗器械股份有限公司,10667774,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×29mm,德宏州人民医院,1,11000,4462,4462,11000,,6538,支架,云南,59.44%
2020年,乐普(北京)医疗器械股份有限公司,10667774,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×29mm,会泽县人民医院,1,11270,4462,4462,11270,,6808,支架,云南,60.41%
2020年,乐普(北京)医疗器械股份有限公司,10667774,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×29mm,昆明市延安医院,7,76900,31234,4462,10985.71,,45666,支架,云南,59.38%
2020年,乐普(北京)医疗器械股份有限公司,10667774,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×29mm,昆明医科大学第二附属医院,1,11100,4462,4462,11100,,6638,支架,云南,59.80%
2020年,乐普(北京)医疗器械股份有限公司,10667774,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×29mm,昆明医科大学第一附属医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2020年,乐普(北京)医疗器械股份有限公司,10667774,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×29mm,普洱市人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
2020年,乐普(北京)医疗器械股份有限公司,10667774,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×29mm,曲靖市第二人民医院,13,144300,58006,4462,11100,,86294,支架,云南,59.80%
2020年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,德宏州人民医院,1,11000,4462,4462,11000,,6538,支架,云南,59.44%
2020年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,国药控股曲靖有限公司,1,8565.2,4462,4462,8565.2,,4103.2,支架,云南,47.91%
2020年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,红河哈尼族彝族自治州第三人民医院,2,22000,8924,4462,11000,,13076,支架,云南,59.44%
2020年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,会泽县人民医院,1,11270,4462,4462,11270,,6808,支架,云南,60.41%
2020年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,昆明市延安医院,11,121900,49082,4462,11081.82,,72818,支架,云南,59.74%
2020年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,昆明医科大学第二附属医院,1,10900,4462,4462,10900,,6438,支架,云南,59.06%
2020年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,昆明医科大学第一附属医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2020年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,普洱市人民医院,3,34100,13386,4462,11366.67,,20714,支架,云南,60.74%
2020年,乐普(北京)医疗器械股份有限公司,10667775,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×36mm,曲靖市第二人民医院,16,177600,71392,4462,11100,,106208,支架,云南,59.80%
2020年,乐普(北京)医疗器械股份有限公司,10667777,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×12mm,德宏州人民医院,1,11000,4462,4462,11000,,6538,支架,云南,59.44%
2020年,乐普(北京)医疗器械股份有限公司,10667777,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×12mm,昆明市延安医院,3,33100,13386,4462,11033.33,,19714,支架,云南,59.56%
2020年,乐普(北京)医疗器械股份有限公司,10667777,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×12mm,昆明医科大学第二附属医院,1,10900,4462,4462,10900,,6438,支架,云南,59.06%
2020年,乐普(北京)医疗器械股份有限公司,10667777,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×12mm,昆明医科大学第一附属医院,4,46000,17848,4462,11500,,28152,支架,云南,61.20%
2020年,乐普(北京)医疗器械股份有限公司,10667777,血管内无载体含药(雷帕霉素)洗脱支架系统,3.5mm×12mm,普洱市人民医院,1,11500,4462,4462,11500,,7038,支架,云南,61.20%
